Month,Date,Destination,Category,Origin,Destination_Long,Destination_Lat,Origin_Long,Origin_Lat,Distance,Transportation Cost,Entry Cost,Average Price,Horse Drain
4,28.04.2022,Lamprechtshausen,CSI2*,Zwentendorf,12.9554913,47.9926148,16.4330201,48.6106026,359.9878,400.6664214,400,800,-25
6,02.06.2022,Ranshofen,CSI2*,Zwentendorf,13.0148774,48.2351825,16.4330201,48.6106026,330.5409,367.89202170000004,400,800,-25
6,10.06.2022,Treffen - GHPC,CSI2*,Zwentendorf,13.862191453089885,46.6599555,16.4330201,48.6106026,422.9884,470.7860892,400,800,-25
6,16.06.2022,Ebreichsdorf,CSI2*,Zwentendorf,16.39163215125545,47.96611095,16.4330201,48.6106026,98.7359,109.8930567,400,800,-25
6,28.06.2022,Wiener Neustadt - Lake Arena,CSI2*,Zwentendorf,16.197661794629084,47.8197349,16.4330201,48.6106026,117.1967,130.4399271,400,800,-25
8,25.08.2022,Wiener Neustadt - Lake Arena,CSI2*,Zwentendorf,16.197661794629084,47.8197349,16.4330201,48.6106026,117.1967,130.4399271,400,800,-25
9,14.09.2022,Lamprechtshausen,CSI2*,Zwentendorf,12.9554913,47.9926148,16.4330201,48.6106026,359.9878,400.6664214,400,800,-25
10,06.10.2022,Arena Nova,CSI2*,Zwentendorf,16.253885084164402,47.8410694,16.4330201,48.6106026,117.5271,130.8076623,400,800,-25
11,03.11.2022,Ebreichsdorf,CSI2*,Zwentendorf,16.39163215125545,47.96611095,16.4330201,48.6106026,98.7359,109.8930567,400,800,-25
4,07.04.2022,Linz-Ebelsberg,CSN-A*,Zwentendorf,14.3471044,48.2519744,16.4330201,48.6106026,215.8538,240.24527940000002,250,500,-25
4,14.04.2022,St. Margarethen-Stückler,CSN-A*,Zwentendorf,14.813442095989808,46.85983155,16.4330201,48.6106026,328.3924,365.5007412,250,500,-25
4,15.04.2022,Ranshofen,CSN-A*,Zwentendorf,13.0148774,48.2351825,16.4330201,48.6106026,330.5409,367.89202170000004,250,500,-25
5,06.05.2022,St. Margarethen-Stückler,CSN-A*,Zwentendorf,14.813442095989808,46.85983155,16.4330201,48.6106026,328.3924,365.5007412,250,500,-25
5,12.05.2022,Wiener Neustadt - Lake Arena,CSN-A*,Zwentendorf,16.197661794629084,47.8197349,16.4330201,48.6106026,117.1967,130.4399271,250,500,-25
5,26.05.2022,Messe Wels,CSN-A*,Zwentendorf,14.0192097,48.1528439,16.4330201,48.6106026,245.9114,273.6993882,250,500,-25
6,03.06.2022,Lassee,CSN-A*,Zwentendorf,16.818069652199092,48.23776205,16.4330201,48.6106026,63.1059,70.2368667,250,500,-25
6,16.06.2022,Stadl Paura,CSN-A*,Zwentendorf,13.8694007,48.0838623,16.4330201,48.6106026,258.7631,288.0033303,250,500,-25
6,29.06.2022,Linz-Ebelsberg,CSN-A*,Zwentendorf,14.3471044,48.2519744,16.4330201,48.6106026,215.8538,240.24527940000002,250,500,-25
7,14.07.2022,Zeltweg-Farrach,CSN-A*,Zwentendorf,14.7311095,47.190871,16.4330201,48.6106026,263.9144,293.7367272,250,500,-25
